Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars)
"Ocean County, New Jersey",229454,1336,4,0.4,3.1,0.3,8.1,0.5,8.5,0.5,11.1,0.6,16.4,0.6,13.5,0.5,18.2,0.5,8.4,0.4,8.7,0.5,72679,1275,95984,1570
"Passaic County, New Jersey",168681,584,5.5,0.4,3.8,0.3,8.4,0.5,7.9,0.5,9.9,0.6,15.3,0.7,12.9,0.7,16.6,0.7,8.9,0.5,10.9,0.6,73562,1609,98240,1602
"Salem County, New Jersey",24414,349,6,1.1,4.4,0.8,11.2,1.5,7.6,1.1,10.6,1.4,17,1.8,11,1.4,17.7,1.5,8.4,1.1,6.1,0.9,64234,2356,84136,2825
"Somerset County, New Jersey",119721,743,2.7,0.4,2,0.4,4.5,0.6,4.5,0.5,6.4,0.5,11.5,0.7,11.6,0.7,18.3,0.9,13.2,0.7,25.3,0.9,116510,2194,157405,3385
"Sussex County, New Jersey",54166,619,2.9,0.7,1.6,0.3,4.9,0.6,5.5,0.8,6.9,0.7,14.7,1,15.6,1.2,21,1.4,13.9,1.1,13.1,0.9,96222,2148,119028,3428
"Union County, New Jersey",191862,828,3.9,0.4,2.8,0.4,6.5,0.4,7,0.5,9.5,0.5,15.8,0.7,12.6,0.7,17,0.7,9.9,0.6,14.9,0.4,82644,1642,120027,1879
"Warren County, New Jersey",42322,464,3.1,0.5,3.3,0.7,6.9,1,6.2,0.7,9.3,0.9,16.1,1.4,15,1.3,20.3,1.3,10.2,1.2,9.5,0.9,83497,2511,100751,1959
"Bernalillo County, New Mexico",272528,1177,8,0.6,5.1,0.4,10,0.6,10,0.6,13.1,0.7,17.8,0.7,12.3,0.5,13.5,0.5,5.1,0.3,5,0.3,54308,929,74163,1027
"Catron County, New Mexico",1546,155,7.8,6.6,6.1,4.2,14.1,7.5,20.9,7.6,20,6.7,18,6.5,4.7,3.7,7.1,5.9,0.9,1.4,0.5,0.9,36607,8958,44878,6591
"Chaves County, New Mexico",23641,563,7.9,1.5,8.4,1.7,12.9,1.9,9.4,1.4,14.2,2.1,18.4,2.3,11.7,2,11.3,1.9,3.5,0.9,2.5,0.8,46254,2393,62178,4149
"Cibola County, New Mexico",8408,352,10.9,2.3,6.9,2.3,11.1,2.2,11.8,2.5,13.1,2.4,19.3,2.8,10.4,2.4,12,2.8,3.4,1.5,1.2,0.7,44731,3783,57941,3818
"Colfax County, New Mexico",5946,262,8.9,2.9,7.5,2.7,17.1,3.2,13.7,3.2,14.7,3.6,17.7,3.2,6.6,1.9,9.5,2.4,2.6,1.3,1.7,1,36937,4886,51239,3756
"Curry County, New Mexico",18620,445,7.8,1.7,5.4,1.2,11.2,1.8,11.7,1.6,15.1,2,20.3,1.9,14.7,2.2,9.5,1.5,2.6,0.7,1.7,0.7,48903,2442,61036,3643
"De Baca County, New Mexico",554,121,10.1,6.7,11.7,7,18.2,10.6,14.3,7,6.3,4,15.2,6.1,11.2,11.1,10.3,7.4,2.5,2.8,0.2,0.6,31532,13343,49881,10271
"Doña Ana County, New Mexico",79421,962,10.2,1,7.3,0.8,14.6,1.2,10.7,1.1,12,1,17.9,1.6,9.5,1.2,12.1,1.2,3.3,0.6,2.4,0.5,44024,2292,60780,2151
"Eddy County, New Mexico",21548,477,6.6,1.4,5,1.3,9.2,1.6,8.9,1.7,9.6,1.8,17.8,2.5,10.9,1.6,17.9,2.4,9.2,1.9,4.9,1.4,65000,3898,83272,5036
"Grant County, New Mexico",11496,426,12.2,2.8,6.4,1.6,14.5,2.7,14.2,2.9,13.1,2.3,12,2,10.7,2.9,11.6,2.9,2.6,1.2,2.7,1.2,37453,3245,58280,6205
"Guadalupe County, New Mexico",1345,223,9.3,4.4,5.7,3.3,28.6,7.4,18.1,6.7,13.8,5.4,6.4,2.9,8.4,4.1,3.2,2.4,0.4,0.9,6.1,6.1,31061,5288,48766,12280
"Harding County, New Mexico",176,39,3.4,2.4,6.8,4.2,26.1,9.3,15.3,7.4,16.5,7.4,10.8,5.3,4,3.2,8.5,4.8,1.1,1.9,7.4,5.2,32500,7357,106269,51638
"Hidalgo County, New Mexico",1742,124,10.4,3.9,8.9,3,10.7,3.9,11,3.4,13.6,3.8,23.1,5.8,9.5,3.1,10.4,5.1,0.4,0.7,2,2,44722,7506,54456,6719
"Lea County, New Mexico",22868,497,6.8,1.5,5.6,1.3,7.3,1.2,9.6,1.8,10.9,1.4,21.2,2.1,13.8,1.7,14.3,1.8,6.3,1.4,4.3,1.1,61867,2788,78407,4928
"Lincoln County, New Mexico",8478,480,8.4,2.5,4.5,1.5,16.4,3.4,10.9,2.8,14.5,3,18,3,7.6,2.2,14.3,3.4,3.1,1.3,2.3,1.4,44939,3077,62893,6028
"Los Alamos County, New Mexico",7895,169,2.3,1.2,0.8,0.8,2.3,1,3.2,1.6,6.2,1.7,10.3,2.3,14.7,2.8,26.5,4,13.1,2.8,20.6,3.3,119266,4427,142293,8110
"Luna County, New Mexico",8911,376,13.5,3,9.7,2.8,17.2,3.4,12.2,2.6,13.6,2.8,16,3,9.1,3.4,6.8,1.4,0.7,0.5,1.4,1,32251,3688,45460,3541
"McKinley County, New Mexico",21247,356,17.2,1.8,8.6,1.4,12.8,1.4,10.1,1.3,12.8,1.3,15.3,1.6,10.4,1.4,8.5,1.3,1.9,0.7,2.5,0.7,36179,1784,51712,2508
"Mora County, New Mexico",2278,256,16.1,7.1,8.3,5.1,18.8,7.2,8.3,5.2,18.4,5.3,14,6.7,9,4.7,5.6,4.3,1.3,2,0,1.6,29458,9207,40234,6067
"Otero County, New Mexico",23112,601,8.4,1.2,5.3,1.2,11.9,1.6,13.7,1.8,15.5,1.8,18.5,1.8,11.8,1.7,9.4,1.5,3.4,1,2.1,0.8,45032,2105,64127,5733
"Quay County, New Mexico",3182,229,7.6,3.5,5.9,2.4,24.5,5.3,13.5,4,14.6,4.1,14.9,4.4,6.9,4.2,7.1,3.2,4.5,2.1,0.5,0.4,33962,4287,49309,4885
"Rio Arriba County, New Mexico",13035,526,11.3,1.9,7.6,1.7,15.1,2.5,9.5,1.6,13.5,2.5,16.1,2.8,9.3,1.5,8.2,1.5,6.4,1.8,2.8,0.9,42264,3387,59547,4020
"Roosevelt County, New Mexico",6785,354,11.9,3.2,6.1,2.4,11.1,2.7,12.4,2.6,15.4,2.9,15.7,3.1,9.8,2.9,13.7,3.7,2.7,1.3,1.2,0.9,42917,3311,56517,4045
"Sandoval County, New Mexico",52504,497,5,0.5,4,0.7,7.4,0.9,7.2,0.8,13.8,1.1,19.5,1.4,14.9,1.1,16.7,1.2,6.1,0.7,5.5,0.7,65071,2166,81329,2284
"San Juan County, New Mexico",43582,599,8.5,0.9,5.5,0.8,11.9,1.3,10.9,1.2,14.5,1.3,18,1.7,11.9,1.1,11.8,1.1,4.7,0.9,2.2,0.5,47643,2595,63187,2034
"San Miguel County, New Mexico",11942,443,14.2,2.5,9.9,2.2,16,2.9,12.6,2.7,12.9,2.3,13.4,2.5,6.5,1.6,10.2,2.7,2.9,1.3,1.3,0.7,32310,2911,50435,4138
"Santa Fe County, New Mexico",63152,744,6.2,0.7,3.7,0.6,8.6,0.9,10.4,1.1,12.9,1,18.2,1.3,12.7,1,13.7,0.9,6.3,0.8,7.4,0.6,60668,2400,86441,2473
"Sierra County, New Mexico",5402,306,13,3,8.7,2.5,17.8,4,11.7,2.9,11.5,2.9,14.5,3.3,8.2,2.9,9.7,3.9,2.8,1.3,2.1,1.2,33873,5975,56211,8149
"Socorro County, New Mexico",5002,320,10.5,3.1,8.8,2.8,14,3.3,11.7,3.3,15,3.5,14.7,3.2,8.1,2.9,12.1,3.3,3.4,1.4,1.7,1,40297,5122,55531,4334
"Taos County, New Mexico",12592,623,10.3,2.2,7.9,1.9,13.2,2.3,11.5,2.4,13.8,2.4,14.3,2.3,6.6,1.6,13,2.9,4.2,1.8,5,1.1,41973,3403,69256,5492
"Torrance County, New Mexico",5957,301,8.3,2.1,4.3,1.8,20.1,3.9,11.8,2.8,11.9,3,19.1,4.2,11.4,3.3,10,3.7,1,0.8,2,1.5,38240,6353,53711,3954
"Union County, New Mexico",1404,129,9.5,4.2,8.9,4.2,16.3,5.1,14.9,5.2,12.8,5,17.7,5.3,11.8,5.5,6.1,2.8,1.1,1.5,0.9,1,35484,8155,52756,11059
"Valencia County, New Mexico",26456,642,6.6,1.5,5.4,1.3,10.5,1.3,11.3,1.9,15.3,2,20.1,2.1,12.5,1.5,10.9,1.7,4.7,1,2.7,0.9,50801,2405,65402,2806
"Albany County, New York",128122,890,5.8,0.6,4.1,0.5,7.1,0.5,7.9,0.7,11.8,0.7,17.2,0.9,12.6,0.7,17.7,0.8,7.6,0.5,8.2,0.6,68327,1686,91173,1868
"Allegany County, New York",18028,360,7,1.2,5.7,0.9,10.9,0.8,9.8,1,15.2,1.3,19.2,1.3,15.2,1.4,11.9,1.1,2.8,0.5,2.3,0.6,51227,1326,66041,5379
"Bronx County, New York",510135,1398,12.8,0.4,9,0.4,12.2,0.4,9.6,0.4,12.8,0.5,15.7,0.4,10,0.3,10.7,0.4,4,0.2,3.3,0.2,41895,624,61266,913
"Broome County, New York",79528,728,7.8,0.7,5.8,0.7,11.5,0.9,9.8,0.9,13.2,1,17.5,1.1,12.9,0.9,13.2,0.9,4.5,0.5,3.8,0.5,52237,1516,71569,2335
"Cattaraugus County, New York",31999,465,6.2,0.6,7.6,1.1,10.9,0.8,11.3,1.1,13.2,0.9,19.7,1.1,13.4,1,12.1,0.8,3.3,0.5,2.3,0.5,50700,1342,63618,1680
"Cayuga County, New York",30870,534,5.2,0.9,4,0.8,10.4,1.4,9.7,1.1,14.6,1.2,17.9,1.3,14,1.2,16.1,1.3,4.6,0.6,3.6,0.5,57985,2448,76230,2703
"Chautauqua County, New York",53625,631,6.7,0.6,7.1,0.8,12.9,0.9,10.3,0.8,14.4,1.2,18.1,1.2,12,1,13.1,1,3.3,0.5,2.1,0.3,48315,1496,63380,1622
"Chemung County, New York",34328,515,7.4,1.1,4.8,0.8,9.3,0.9,11.4,1.3,12.8,1.1,18.9,1.3,14.1,1.3,13.4,1.2,4.6,0.7,3.3,0.7,54883,2149,72456,3676
"Chenango County, New York",20834,446,5.3,0.9,6,1,12.1,1.4,9.7,1.2,15.1,1.6,18.2,1.6,14.9,1.6,11.9,1.3,4.1,0.8,2.7,0.6,51756,2231,66446,2493
"Clinton County, New York",31557,454,5.7,0.8,4,0.8,8.9,1.3,10.2,1.4,12.1,1.2,21.2,1.8,13.2,1.5,14.5,1.6,6.4,1.2,3.7,0.9,59510,2553,75442,3871
"Columbia County, New York",25323,507,4,0.7,3.7,0.8,9,1.2,8,1.1,11.5,1.5,17.5,1.7,13.2,1.4,16.1,1.3,9.5,1.2,7.5,1.1,68750,2716,94581,3627
"Cortland County, New York",17980,367,4.7,1,5.3,1.1,7.3,1.2,9.7,1.6,15.8,1.8,18.8,1.6,14.5,1.8,15.7,1.7,4.6,0.8,3.5,0.8,59194,3852,73800,3215
"Delaware County, New York",18930,515,6.1,0.9,6.8,1.1,11.6,1.5,10.6,1.6,15.1,1.7,18.6,1.5,12.1,1.3,12.3,1.3,4.2,0.9,2.7,0.5,49945,2255,64604,2460
"Dutchess County, New York",110095,868,4.3,0.5,3.6,0.5,6.2,0.6,6.8,0.7,10.2,0.8,15.2,0.7,12.5,0.7,19.2,0.9,10.3,0.6,11.8,0.7,81842,1329,109285,3921
"Erie County, New York",392910,1563,6.7,0.3,5,0.3,9.6,0.4,9.3,0.4,12,0.4,17.6,0.5,12.9,0.4,14.8,0.5,6.6,0.3,5.6,0.3,59464,843,80595,918
"Essex County, New York",16182,453,4.4,0.9,4.5,1.2,9.6,1.8,9.6,1.2,13.6,1.7,20.6,2.3,13.3,1.5,14.9,1.7,4.4,0.9,5.1,1.3,58109,2732,77483,3964
"Franklin County, New York",18880,364,7.2,1.2,6.3,1.1,10.3,1.4,9.4,1.3,14.3,1.6,18.6,2,13,1.7,12.8,1.5,4.2,1.2,3.8,1,52905,2050,69689,2770
"Fulton County, New York",22406,438,5.9,1,5,0.9,11,1.6,11.6,1.6,15.3,2.1,17.8,2,12.8,2,13.8,1.6,3.8,0.8,3,0.7,51663,3298,69513,4276
"Genesee County, New York",24174,286,5.3,1,4.4,0.8,8.4,1,9.5,1.2,13.6,1.6,19.2,1.6,15.2,1.7,15.2,1.5,6.1,1.2,3,0.5,60635,2599,73368,2277
"Greene County, New York",17681,510,5.2,1.1,5.6,1.3,11.2,1.9,11.8,1.7,10.4,1.6,18,1.7,13,1.4,14,1.6,6.2,1.1,4.7,1.1,56681,4389,76068,3642
"Hamilton County, New York",1416,129,3.5,2,2.4,1.3,8.5,3.1,9.4,2.7,15.3,3.6,20.2,3.6,18,3,14.8,3.3,5.9,2.7,2,0.8,60625,10526,71980,4830
"Herkimer County, New York",25093,534,4.3,0.8,5,0.8,10.9,1.2,9.8,1.2,14.4,1.5,16.6,1.4,16.4,1.7,14.6,1.5,5.4,1,2.5,0.6,58438,3520,71313,2223
"Jefferson County, New York",43046,681,6.6,0.7,4.3,0.7,8.7,0.9,11,1,14.6,1.2,19,1.3,15.1,1,13.4,1.1,4.6,0.6,2.7,0.6,54726,1793,70620,2926
"Kings County, New York",972314,2022,8.5,0.2,6,0.2,9,0.2,7.8,0.2,10.3,0.3,14,0.3,11.3,0.3,14.4,0.3,8,0.2,10.6,0.2,63973,679,96572,879
"Lewis County, New York",10398,232,4,0.7,4.2,1,9.9,1.3,10.7,1.8,14.8,1.9,20.8,1.8,14.2,2,13.4,1.5,5.5,1.3,2.4,0.7,56192,2172,69300,2470
"Livingston County, New York",24496,419,5.6,1.1,4,0.7,8.8,1.2,9.1,1.1,13.3,1.5,20.9,1.6,13.7,1.5,15.7,1.3,5.2,0.8,3.6,0.8,60248,1825,76578,3770
"Madison County, New York",25959,554,4.9,1,3.6,0.8,10.1,1.5,8.3,1.3,13.4,1.4,19.3,1.5,13.3,1.3,16.8,1.4,5.4,0.9,4.8,0.7,61176,2252,79588,3072
"Monroe County, New York",305210,1241,6.1,0.4,4.6,0.3,9.6,0.4,9,0.4,11.8,0.4,17.2,0.5,12.6,0.5,16.2,0.4,6.7,0.3,6.3,0.3,62087,820,83731,1056
"Montgomery County, New York",19621,377,6.9,1.1,5.7,1.1,11.4,1.3,11.2,1.3,14.6,1.4,17.8,1.7,10.4,1.3,14.6,1.5,4.7,0.7,2.7,0.7,50146,2124,67109,2392
"Nassau County, New York",449967,1437,2.9,0.2,1.9,0.2,4.4,0.3,4.3,0.2,6.6,0.3,10.9,0.3,10.9,0.4,19,0.4,14.1,0.5,25.1,0.5,120036,1590,158190,1860
"New York County, New York",758720,4260,8.3,0.4,5.1,0.3,6.8,0.3,5.6,0.2,7.2,0.3,11,0.4,9.3,0.4,14.2,0.4,9,0.3,23.4,0.5,89812,1681,163997,2484
"Niagara County, New York",90022,790,6.6,0.8,4.8,0.5,9.9,0.8,8.7,0.6,14.6,1,17,1,13.1,0.8,15.5,0.8,6.2,0.6,3.6,0.4,57252,1776,73525,1612
"Oneida County, New York",90675,740,5.5,0.5,5,0.5,9.7,0.8,9.5,0.7,12.4,0.8,19.4,1,13.3,0.8,15.4,0.9,5.7,0.5,4.1,0.5,59113,1291,75973,1838
"Onondaga County, New York",187349,1106,6.4,0.4,4.3,0.3,9.2,0.6,8.5,0.5,12.1,0.6,17.6,0.6,13,0.5,16.2,0.6,7,0.4,5.8,0.3,62668,1220,83488,1288
"Ontario County, New York",45711,476,4.2,0.7,3,0.5,8.3,1,8.7,1,13.4,1.2,18.6,1.2,14.6,1.1,16.4,1.2,6.7,0.8,6.1,0.7,64795,1952,87552,2932
"Orange County, New York",130428,935,4.3,0.5,4,0.6,7.3,0.6,6.8,0.6,9.6,0.6,14.6,0.8,13.2,0.7,19.1,0.8,10.5,0.7,10.7,0.6,80816,1861,102133,1978
"Orleans County, New York",16634,334,5.3,1.4,4.4,1.2,9.7,2,11.4,1.8,15.6,2,19.6,2.2,13.3,1.7,12.5,1.4,5.7,1.3,2.5,0.9,52958,2200,68474,3019
"Oswego County, New York",46597,527,5.5,0.8,5,0.7,9.4,0.8,8.6,0.8,14,1,18.8,1.3,14.2,1.1,15.6,1.2,5.2,0.7,3.6,0.6,59070,1911,74820,2255
"Otsego County, New York",23768,512,5.7,0.8,5,0.9,9.7,1.2,9.6,1,14.1,1.4,19.8,1.8,13.5,1.2,14.6,1.5,4.7,0.8,3.3,0.6,56171,1720,72963,2512
"Putnam County, New York",34915,446,1.8,0.4,1.8,0.6,5,1,4.1,0.8,7.8,1.1,13,1.4,13,1.3,23.3,1.8,14,1.4,16.2,1.3,107246,3741,131539,4695
"Queens County, New York",783362,2290,5.4,0.2,3.8,0.2,7.7,0.3,7.8,0.2,10.8,0.3,16.3,0.3,13.3,0.3,17.5,0.3,8.8,0.3,8.7,0.2,72028,691,94363,1494
"Rensselaer County, New York",65455,641,4.5,0.5,3.5,0.6,7.7,1,8.2,0.8,11.3,1,17.1,1.1,14.2,0.9,19.1,1.1,8.5,0.7,5.8,0.6,72510,1492,88034,2400
"Richmond County, New York",167160,1124,6.1,0.5,3.7,0.5,6,0.5,5.9,0.5,8.8,0.6,14.2,0.8,11.8,0.6,19.4,0.9,11.7,0.6,12.4,0.6,85381,2396,107742,1947
"Rockland County, New York",101167,677,3.4,0.4,3,0.5,6.9,0.5,6.4,0.6,8.5,0.7,12.7,0.8,11.3,0.7,17.5,0.9,11.8,0.7,18.4,0.8,94840,2406,126046,2299
"St. Lawrence County, New York",41925,578,6.3,0.9,7.2,0.8,11.1,1.3,10.4,1,12.8,1.1,18.2,1.1,12.7,1.1,14.4,1.1,3.8,0.7,3.2,0.5,52071,1420,67385,1760
"Saratoga County, New York",95898,792,2.5,0.3,2.9,0.5,6.2,0.6,6,0.6,10.1,0.6,16,1,14.2,1,21.2,1.1,10.7,0.8,10.3,0.8,85224,2473,108479,2836
"Schenectady County, New York",57479,846,4.9,0.7,4.6,0.7,8.7,0.9,8.5,0.9,11.2,0.9,17.6,1.4,14.1,1.1,17.3,1.2,7.5,1,5.6,0.7,66488,1769,83681,2368
"Schoharie County, New York",12780,288,3.7,0.8,5.3,1.3,8.7,1.1,10.8,1.5,14,1.7,19.7,1.7,12.5,1.3,15.1,1.9,5.5,1.1,4.6,1.1,58926,2938,76625,3468
"Schuyler County, New York",7402,238,5.3,1.7,6.1,1.4,12,1.8,8.8,1.7,14.8,1.8,16.2,2.8,15.7,2.2,14.4,1.9,3.9,1.4,2.8,1.2,53291,4447,67174,3509
"Seneca County, New York",13784,294,4.4,1.1,4.9,1.2,10.1,1.5,12.9,1.9,13,1.5,20.2,2,14.4,1.6,12.6,1.4,3.9,0.9,3.8,1.1,54865,2636,71561,4277
"Steuben County, New York",40099,456,5.2,0.6,4.2,0.5,11.1,1,10.9,1,14.2,0.9,18.8,1.2,13.1,0.9,14,1,5.3,0.6,3.2,0.4,55349,1418,73190,1775
"Suffolk County, New York",495667,1964,3.1,0.2,2.2,0.2,4.9,0.2,4.8,0.2,7.7,0.4,12.5,0.5,12.2,0.4,21,0.4,13.7,0.4,18,0.4,105362,1133,134104,1438
"Sullivan County, New York",28762,792,5.7,1.2,5.1,1,9.6,1.5,10,1.3,12.9,1.5,16.6,1.7,12.6,1.4,14.8,1.4,7.2,1,5.4,0.8,60433,2500,81398,4371
"Tioga County, New York",20643,307,3.9,1.1,4.8,1,8.7,1.5,10.7,1.7,12.2,1.7,19.9,1.8,14.9,1.7,14.7,1.6,6.9,1.3,3.3,0.9,61965,2188,76450,2994
"Tompkins County, New York",40817,644,10.4,1.5,3.5,0.7,7.9,1.1,7.6,0.9,12.3,1.5,18.4,1.7,11.8,1.1,13.6,1.3,6.7,0.9,7.8,1,61361,2094,85655,3348
"Ulster County, New York",70088,1044,5.4,0.7,4.5,0.6,8.8,0.9,8.6,1,11.1,0.9,17.1,1.1,12.8,0.9,16.6,0.9,7.7,0.8,7.4,0.6,65306,1764,88477,2149
"Warren County, New York",29034,526,3.6,0.8,3.6,0.7,9.1,1.3,9.6,1.3,12.4,1.4,18.3,1.6,12.5,1.3,19,1.8,6.1,1,5.9,1.5,64658,2711,85859,5170
"Washington County, New York",24054,500,4.9,1.3,4.4,1,9.9,1.4,9.4,1.5,12.4,1.3,21.1,2.3,14.2,1.4,15.6,1.7,5.3,1,2.7,0.7,59613,3032,71922,2477
"Wayne County, New York",37281,470,5.3,1,4.7,0.8,8.5,1.2,7.3,0.8,13.4,1.1,20.3,1.4,14.6,1.1,17.3,1.5,5,0.7,3.6,0.6,62003,1907,77868,2550
"Westchester County, New York",353485,1366,4.6,0.3,3,0.3,6,0.4,5.8,0.4,7.8,0.4,12.4,0.5,10.6,0.5,16.7,0.5,9.9,0.4,23.3,0.5,99489,1737,155613,2075
"Wyoming County, New York",16055,368,3.8,0.8,3.8,0.9,9.7,1.5,7.8,1.1,15.3,1.6,22.3,2,15.7,1.7,14.5,1.4,4.4,1,2.9,0.7,58746,2402,72961,2904
"Yates County, New York",8901,391,4.4,1.2,3.7,1.6,11.4,1.9,12.3,2.3,13.6,2,18.2,2.1,14.9,1.9,13.6,1.7,4.1,0.9,3.7,1,55307,3435,73033,4243
"Alamance County, North Carolina",65455,668,6.6,0.9,4.8,0.7,11.9,1,9.8,0.9,15.4,1.2,17.3,0.9,12.5,1,14.4,1.1,4.3,0.6,3,0.4,51580,1749,69461,1948
"Alexander County, North Carolina",14049,392,5.3,1.4,3.7,1,13.2,2.2,10.8,1.6,15.9,2.7,19,2.8,12.3,2,11.6,1.8,4,1.4,4.2,1.3,51329,3341,71171,4748
"Alleghany County, North Carolina",5001,324,7.2,2.1,8.7,2.4,15,3.3,14.8,2.9,16.2,3.3,15.5,3.4,10.2,2.6,8,2.2,0.8,0.5,3.7,2.5,37158,5049,57497,8931
"Anson County, North Carolina",9803,301,7.4,2.4,7.3,1.8,19.4,3.3,12,2.8,12.5,2.4,18.6,2.8,9.8,2.2,9.6,1.8,2.4,1,1.1,0.7,39799,5189,52788,3044
"Ashe County, North Carolina",11885,450,8.5,1.9,4.9,1.2,14.7,2.8,13.8,2.5,16.8,2.8,16.7,2.8,11,2.3,11,1.9,1.6,0.7,1,0.5,43030,2327,55785,4305
"Avery County, North Carolina",6569,479,6.7,2.2,7.2,1.8,13.9,3.4,11.8,2.5,18.8,3.2,16.8,3.2,8.3,2,9.5,2.2,3,1.6,4.2,1.6,42695,3551,64351,6441
"Beaufort County, North Carolina",20219,496,7,1.2,8.5,1.8,12.2,1.9,11.4,2,12.3,1.9,17.8,1.9,11.8,1.7,12.4,1.8,4,0.8,2.6,0.7,48051,3675,65151,3660
"Bertie County, North Carolina",8008,455,13.2,3.7,9.8,2.9,17.3,3.7,9.6,2.7,16.2,2.9,14.7,2.8,6.8,2.2,6.8,1.8,3.3,1.4,2.2,1.3,35042,3090,52971,6358
"Bladen County, North Carolina",13394,451,11.6,2.3,7.7,2.1,18,2.9,10.2,1.9,14.5,2.5,15.6,2.4,9.4,1.9,8,1.8,2.2,1,2.8,1.5,37188,4231,57740,6143
"Brunswick County, North Carolina",59416,977,6.7,0.9,3.9,0.7,7.8,0.9,9.2,1,13.5,1.3,20.4,1.2,14.6,1.1,14.6,1,4.8,0.7,4.4,0.6,59763,1672,76620,2338
"Buncombe County, North Carolina",105177,1242,4.5,0.5,5.2,0.6,10.5,0.9,11.2,0.8,14,0.8,18.4,1.1,12.2,0.9,12.5,0.8,5.5,0.6,5.9,0.5,55032,1434,78942,2352
"Burke County, North Carolina",35664,581,6.5,1.2,6.7,1,12.3,1.4,13.2,1.6,16.6,1.6,18.2,1.6,11.4,1.3,10.2,1.3,2.4,0.6,2.4,0.5,43915,1890,60794,2607
"Cabarrus County, North Carolina",72843,704,4,0.5,2.9,0.5,7,0.8,8.3,0.8,12.2,1,18,1.3,14.7,1.3,16.7,1.1,8,1,8.2,0.9,71177,2377,93540,3547
"Caldwell County, North Carolina",32798,573,6.3,1.4,6.5,0.9,13.1,1.4,12.7,1.4,15.1,1.5,17,1.7,13,1.5,12.1,1.6,2.5,0.7,1.7,0.5,46094,2305,60054,2877
"Camden County, North Carolina",3912,184,3.5,2.6,2.4,1.5,5.6,2.8,16.3,5.6,15.3,4.2,15.4,4.3,18,4.6,15.5,3.9,5.9,3.3,2.1,1.7,63834,2912,72502,5719
"Carteret County, North Carolina",30060,573,4.8,0.8,4.6,0.9,10.8,1.2,10.1,1.1,13.9,1.4,17.7,1.2,14.5,1.1,13.8,1.2,5,0.7,4.9,0.7,57871,2532,76538,2426
"Caswell County, North Carolina",8993,336,7,1.9,5.9,1.7,15.3,2.8,10.4,2.1,13.2,2.4,20.5,3.5,12.4,2.4,10.8,2.4,2.4,1.1,2,0.9,47938,4528,59635,4169
"Catawba County, North Carolina",62940,615,5.9,0.8,4.8,0.7,10.8,0.8,9.2,0.9,15.3,1.2,19.7,1.4,13.3,1.1,13,1,3.8,0.6,4.3,0.6,54690,1791,72567,2253
"Chatham County, North Carolina",29904,475,4,1.1,4.2,1.1,8.8,1.2,9.4,2,10.5,1.5,15.8,1.8,11.3,1.6,15.3,1.7,8.2,1.3,12.5,1.4,69799,4161,104264,4985
"Cherokee County, North Carolina",12546,518,6.4,1.5,8.4,2.1,13.7,2.6,13.7,2.3,16.8,3.2,17.1,2.7,10.7,2,10.4,1.7,1.3,0.7,1.5,0.8,40793,2333,53472,2622
"Chowan County, North Carolina",6389,280,12.9,3.4,4.9,2.4,11.8,3.6,9,2.6,16.7,4.5,16.6,4,12.4,3.5,11.1,3.2,2.1,1.6,2.6,1.9,44050,6104,57711,6395
"Clay County, North Carolina",5300,344,8.9,3.3,8.3,2.9,8.4,2.7,12.1,4.1,18.4,5,13.8,3.5,11.8,4,12.5,4.3,1.8,1.4,4,1.7,42160,5900,67029,9070
"Cleveland County, North Carolina",36089,635,10.1,1.3,6.9,1.2,12.8,1.5,10.7,1.1,15.1,1.4,17.6,1.6,11.5,1.4,10.1,1.3,2.9,0.6,2.4,0.5,43512,1898,57978,1994
"Columbus County, North Carolina",21545,471,11.4,2,7.7,1.5,15.2,1.9,12.1,1.7,12.5,1.5,19.2,2.5,7.8,1.3,9.7,1.5,2.5,0.8,2,0.6,38487,3056,55342,4102
"Craven County, North Carolina",41002,806,6.6,1.1,3.7,0.8,10.1,1.1,13,1.6,13.4,1.4,18.3,1.6,13.7,1.6,12.9,1.5,4.3,0.8,3.9,0.7,53894,2017,71026,2461
